strategy_id,category,is_return,is_median_return,is_sharpe,is_pf,is_trades,oos_return,oos_sharpe,oos_pf,oos_trades,survived,valid,robust
S5.09_S_atr_F8,Alt Volume,69.21924456787004,81.9639291773488,1.2203184885918623,1.838002740132788,244,-20.571777402148385,-0.6172111153747135,0.8917861621069828,206,False,False,False
SEQ_S1.11_S+S4.04_L,Price Action,68.53688148892321,47.19636319912994,1.1230152050355895,1.3131839716724056,718,44.979620355813914,0.8704775654020247,1.2633172794870648,630,True,True,True
SEQ_S5.02_S+S4.04_L,Alt Volume,58.383248748542755,63.776807956801264,1.7589989351289377,1.535608850468631,415,0.6431011012736868,-0.10189315609329867,1.041790655664709,422,True,True,False
S3.12_S_aggr_F8,Alt Trend,57.07911737605112,66.64314315093935,0.921104590923311,1.380839872714732,401,43.621023093201615,0.7178704813207012,1.272316957650161,374,True,True,True
S1.11_S_aggr_F8,Price Action,54.389803120720984,49.040673586231854,1.088938032402903,1.4889691068887123,312,-13.369010979482685,-0.3061214152708132,0.9229722084217316,300,False,False,False
S3.01_L_and+S4.09_L_and,Alt Trend,53.91678656171226,53.91678656171226,5.966571715922302,6.194485404068725,11,,,,0,False,False,False
S2.08_L_aggr,Alt Momentum,52.775341279223674,53.621531946177846,1.2795802115633774,1.49297311569801,254,1.1460009118863508,0.07609783218788942,1.040877812582007,230,True,True,False
S2.08_L_aggr_F7,Alt Momentum,48.03931947613353,48.03931947613353,3.693031375397074,2.545380475340184,20,,,,0,False,False,False
S6.04_L_atr_F7,Statistical,47.37960354155887,58.523691173429185,1.1682238877946045,1.7447721170607438,147,-37.684142196166086,-1.7585268759262984,0.7589291399163436,169,False,False,False
S5.09_S_atr_F10,Alt Volume,44.16090311154498,75.13296982978254,2.3373392575202843,11.749723423655203,73,-21.9704808383116,-0.9878502491472015,0.9307503635698012,87,False,False,False
S3.01_S_trail_F9,Alt Trend,43.62821569072523,46.325609437623605,5.946874463545815,4.89523498817293,56,6.991888965931779,1.6560049094922242,1.3850843769688352,22,True,True,False
S2.08_L_aggr_F9,Alt Momentum,43.50263320077633,36.88001874303651,1.5600554332570085,1.6291257979096874,185,16.576320977861428,0.5898309509575087,1.2617331524901496,189,True,True,False
SEQ_S5.02_S+S3.01_L,Alt Volume,42.958425407082686,34.98624008273922,1.4707906868923235,1.5487149996151215,327,20.983103376954933,0.7347234053318062,1.2676101547789314,313,True,True,False
S1.11_S_aggr,Price Action,42.3710665868987,54.546040408065366,0.5391195806879335,1.216350590763749,517,24.096085480002714,0.3154663589227684,1.1111053173539964,441,True,True,True
S3.01_S_trail_F8,Alt Trend,41.806762141341856,40.74786097779752,5.661768661546545,4.389552529458183,67,1.7548822665880561,-0.29634662061662914,1.1061269445034518,32,True,True,False
S1.11_S_trail_F2,Price Action,40.88243206427082,32.5596327568398,2.6389490552487294,1.7467359969318212,461,14.687104127241144,0.7441099763405057,1.2216536323051335,444,True,True,False
S3.01_L_base_F9,Alt Trend,40.147352803658805,47.70229770229787,4.77650270730262,3.7392499902701144,33,-12.849942680006254,-1.6937174346417931,0.6389143889896438,21,False,False,False
S3.01_S_trail,Alt Trend,39.89306155008804,35.775174028393096,5.577882697687127,4.103392445222015,78,1.7548822665880561,-0.29634662061662914,1.1061269445034518,32,True,True,False
S6.04_L_atr_F1,Statistical,38.75054520493765,40.85822224260719,0.9460565256500336,1.5046771328893527,185,-24.200117705452975,-0.8480249861764835,0.8323102348902732,175,False,False,False
S2.08_L_aggr_F3,Alt Momentum,37.158317398091675,31.53346653346664,1.7351702738711217,1.8987649762610415,92,11.772081704779385,0.6810185100287806,1.4987217680810605,60,True,True,False
S5.02_S_base,Alt Volume,36.05713406052234,46.26278130548781,1.479214296797281,1.534718036337102,270,18.463070198977462,0.7137716216271359,1.2730996449272753,258,True,True,False
SEQ_S1.11_S+S3.01_L,Price Action,35.15736576249183,24.018968412580108,0.6715250711518471,1.1855557963678722,664,38.900778234558985,0.828711305564829,1.2082888630789181,575,True,True,True
S4.04_L_aggr,Volatility,34.11089224084279,37.64170565260629,1.3154984889163228,1.6134961527132385,184,5.5287015074451755,0.2378398451267311,1.072519354857014,195,True,True,False
S3.01_L_base,Alt Trend,30.80856655079608,33.26263592463208,3.6746176922958487,3.07365239714367,44,-4.375819262528258,-0.45936766681171304,0.8997343019580043,33,False,False,False
S3.01_L_and+S3.01_L_and,Alt Trend,30.80856655079608,33.26263592463208,3.6746176922958487,3.07365239714367,44,-4.375819262528258,-0.45936766681171304,0.8997343019580043,33,False,False,False
S5.02_S_base_F8,Alt Volume,30.70458202597284,30.45228514527966,1.9382164951758267,1.7373276052511462,165,15.803516102086876,0.43092903079162326,1.3848572628826255,181,True,True,False
S3.01_S_quick_F9,Alt Trend,28.78378901341125,26.504774125184923,4.859909174857455,3.0292372734871913,56,-10.431977062112498,-5.604871622404229,0.4408305181566913,22,False,False,False
S3.01_S_quick,Alt Trend,26.047648571977856,23.298567918978712,4.5958304264991785,2.7442891281909105,78,-8.162716699570433,-4.182408756903421,0.5644220698886245,32,False,False,False
S3.01_S_quick_F8,Alt Trend,26.00289179338617,21.227859948998965,4.399829100932447,2.7250458211728206,67,-8.162716699570433,-4.182408756903421,0.5644220698886245,32,False,False,False
S7.04_S_trail,Cross-Asset,24.372917561634278,25.033465537149205,2.8667522980520586,1.8244341699950837,161,14.755192695334111,1.8261349195710923,1.5742762594228232,180,True,True,True
